employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
100,Steven,King,SKING,515.123.4567,17-06-1987,AD_PRES,5000,0,0,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-09-1989,AD_VP,17000,0,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,13-01-1993,AD_VP,17000,0,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,03-01-1990,IT_PROG,9000,0,102,60
104,Bruce,Ernst,BERNST,590.423.4568,21-05-1991,IT_PROG,6000,0,103,60
105,David,Austin,DAUSTIN,590.423.4569,25-06-1997,IT_PROG,4800,0,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,05-02-1998,IT_PROG,4800,0,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,07-02-1999,IT_PROG,4200,0,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-08-1994,FI_MGR,12000,0,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,16-08-1994,FI_ACCOUNT,9000,0,108,100
110,John,Chen,JCHEN,515.124.4269,28-09-1997,FI_ACCOUNT,8200,0,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-09-1997,FI_ACCOUNT,7700,0,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,07-03-1998,FI_ACCOUNT,7800,0,108,100
113,Luis,Popp,LPOPP,515.124.4567,07-12-1999,FI_ACCOUNT,6900,0,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,07-12-1994,PU_MAN,11000,0,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,18-05-1995,PU_CLERK,3100,0,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,24-12-1997,PU_CLERK,2900,0,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,24-07-1997,PU_CLERK,2800,0,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,15-11-1998,PU_CLERK,2600,0,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,10-08-1999,PU_CLERK,2500,0,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,18-07-1996,ST_MAN,8000,0,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,10-04-1997,ST_MAN,8200,0,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,01-05-1995,ST_MAN,7900,0,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-10-1997,ST_MAN,6500,0,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-11-1999,ST_MAN,5800,0,100,50
125,Julia,Nayer,JNAYER,650.124.1214,16-07-1997,ST_CLERK,3200,0,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-09-1998,ST_CLERK,2700,0,120,50
127,James,Landry,JLANDRY,650.124.1334,14-01-1999,ST_CLERK,2400,0,120,50
128,Steven,Markle,SMARKLE,650.124.1434,08-03-2000,ST_CLERK,2200,0,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,20-08-1997,ST_CLERK,3300,0,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-10-1997,ST_CLERK,2800,0,121,50
131,James,Marlow,JAMRLOW,650.124.7234,16-02-1997,ST_CLERK,2500,0,121,50
132,TJ,Olson,TJOLSON,650.124.8234,10-04-1999,ST_CLERK,2100,0,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,14-06-1996,ST_CLERK,3300,0,122,50
134,Michael,Rogers,MROGERS,650.127.1834,26-08-1998,ST_CLERK,2900,0,122,50
135,Ki,Gee,KGEE,650.127.1734,12-12-1999,ST_CLERK,2400,0,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,06-02-2000,ST_CLERK,2200,0,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,14-07-1995,ST_CLERK,3600,0,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,26-10-1997,ST_CLERK,3200,0,123,50
139,John,Seo,JSEO,650.121.2019,12-02-1998,ST_CLERK,2700,0,123,50
140,Joshua,Patel,JPATEL,650.121.1834,06-04-1998,ST_CLERK,2500,0,123,50
141,Trenna,Rajs,TRAJS,650.121.8009,17-10-1995,ST_CLERK,3500,0,124,50
142,Curtis,Davies,CDAVIES,650.121.2994,29-01-1997,ST_CLERK,3100,0,124,50
143,Randall,Matos,RMATOS,650.121.2874,15-03-1998,ST_CLERK,2600,0,124,50
144,Peter,Vargas,PVARGAS,650.121.2004,09-07-1998,ST_CLERK,2500,0,124,50
145,John,Russell,JRUSSEL,011.44.1344.429268,01-10-1996,SA_MAN,14000,0.4,100,80
146,Karen,Partners,KPARTNER,011.44.1344.467268,05-01-1997,SA_MAN,13500,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,10-03-1997,SA_MAN,12000,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,15-10-1999,SA_MAN,11000,0.3,100,80
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,29-01-2000,SA_MAN,10500,0.2,100,80
150,Peter,Tucker,PTUCKER,011.44.1344.129268,30-01-1997,SA_REP,10000,0.3,145,80
151,David,Bernstein,DBERNSTE,011.44.1344.345268,24-03-1997,SA_REP,9500,0.25,145,80
152,Peter,Hall,PHALL,011.44.1344.478968,20-08-1997,SA_REP,9000,0.25,145,80
153,Christopher,Olsen,COLSEN,011.44.1344.498718,30-03-1998,SA_REP,8000,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,09-12-1998,SA_REP,7500,0.2,145,80
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,23-11-1999,SA_REP,7000,0.15,145,80
156,Janette,King,JKING,011.44.1345.429268,30-01-1996,SA_REP,10000,0.35,146,80
157,Patrick,Sully,PSULLY,011.44.1345.929268,04-03-1996,SA_REP,9500,0.35,146,80
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,01-08-1996,SA_REP,9000,0.35,146,80
159,Lindsey,Smith,LSMITH,011.44.1345.729268,10-03-1997,SA_REP,8000,0.3,146,80
160,Louise,Doran,LDORAN,011.44.1345.629268,15-12-1997,SA_REP,7500,0.3,146,80
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,03-11-1998,SA_REP,7000,0.25,146,80
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11-11-1997,SA_REP,10500,0.25,147,80
163,Danielle,Greene,DGREENE,011.44.1346.229268,19-03-1999,SA_REP,9500,0.15,147,80
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,24-01-2000,SA_REP,7200,0.1,147,80
165,David,Lee,DLEE,011.44.1346.529268,23-02-2000,SA_REP,6800,0.1,147,80
166,Sundar,Ande,SANDE,011.44.1346.629268,24-03-2000,SA_REP,6400,0.1,147,80
167,Amit,Banda,ABANDA,011.44.1346.729268,21-04-2000,SA_REP,6200,0.1,147,80
168,Lisa,Ozer,LOZER,011.44.1343.929268,11-03-1997,SA_REP,11500,0.25,148,80
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,23-03-1998,SA_REP,10000,0.2,148,80
170,Tayler,Fox,TFOX,011.44.1343.729268,24-01-1998,SA_REP,9600,0.2,148,80
171,William,Smith,WSMITH,011.44.1343.629268,23-02-1999,SA_REP,7400,0.15,148,80
172,Elizabeth,Bates,EBATES,011.44.1343.529268,24-03-1999,SA_REP,7300,0.15,148,80
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,21-04-2000,SA_REP,6100,0.1,148,80
174,Ellen,Abel,EABEL,011.44.1644.429267,11-05-1996,SA_REP,11000,0.3,149,80
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,19-03-1997,SA_REP,8800,0.25,149,80
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,24-03-1998,SA_REP,8600,0.2,149,80
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,23-04-1998,SA_REP,8400,0.2,149,80
178,Kimberely,Grant,KGRANT,011.44.1644.429263,24-05-1999,SA_REP,7000,0.15,149,0
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,04-01-2000,SA_REP,6200,0.1,149,80
180,Winston,Taylor,WTAYLOR,650.507.9876,24-01-1998,SH_CLERK,3200,0,120,50
